timestamp transmit receive rx_error tx_error rx_drop tx_drop transmit receive rx_error tx_error rx_drop tx_drop 
1456942230.68 944812016 27148122 0 0 0 0 776619122 18723963 0 0 0 0
1456942253.55 950431083 27271753 0 0 0 0 781418035 18831672 0 0 0 0
1456942276.55 958111683 27425830 0 0 0 0 789531923 19001778 0 0 0 0
1456942299.53 963677974 27538832 0 0 0 0 793517095 19095475 0 0 0 0
1456942322.52 970938454 27681688 0 0 0 0 799678163 19213541 0 0 0 0
1456942345.88 977494677 27809821 0 0 0 0 806350200 19372944 0 0 0 0
1456942369.19 986601188 27963251 0 0 0 0 811286635 19479251 0 0 0 0
1456942392.57 994428528 28104204 0 0 0 0 821137115 19683175 0 0 0 0
1456942415.47 1001634572 28213854 0 0 0 0 825242101 19773463 0 0 0 0
1456942438.53 1008343812 28354298 0 0 0 0 832896874 19924246 0 0 0 0
1456942461.74 1014164510 28488672 0 0 0 0 838456150 20064014 0 0 0 0
1456942484.99 1025478700 28669557 0 0 0 0 844993607 20175541 0 0 0 0
1456942508.02 1030502168 28763800 0 0 0 0 851753187 20338797 0 0 0 0
1456942531.11 1039742559 28911108 0 0 0 0 856909835 20434243 0 0 0 0
1456942554.39 1044821732 29031262 0 0 0 0 863128520 20575652 0 0 0 0
1456942577.3 1048357629 29167965 0 0 0 0 866615610 20659032 0 0 0 0
1456942600.65 1056296004 29350733 0 0 0 0 874376495 20811909 0 0 0 0
1456942623.86 1063385022 29470093 0 0 0 0 880685071 20965031 0 0 0 0
1456942647.18 1074276454 29646322 0 0 0 0 887330139 21076287 0 0 0 0
1456942670.15 1078692756 29737632 0 0 0 0 893621692 21232798 0 0 0 0
1456942693.04 1085208405 29853217 0 0 0 0 898735980 21342386 0 0 0 0
1456942716.42 1094354240 30008729 0 0 0 0 906385381 21497299 0 0 0 0
1456942739.3 1098498502 30133605 0 0 0 0 911853268 21616787 0 0 0 0
1456942762.64 1110508048 30310750 0 0 0 0 920467310 21778055 0 0 0 0
1456942785.69 1116001105 30409392 0 0 0 0 924880395 21892652 0 0 0 0
1456942808.87 1123689412 30548111 0 0 0 0 929950687 21984542 0 0 0 0
1456942832.15 1129401875 30746275 0 0 0 0 937507479 22160604 0 0 0 0
1456942855.07 1136198155 30983467 0 0 0 0 942376992 22275673 0 0 0 0
1456942878.29 1146318537 31379536 0 0 0 0 950936464 22465341 0 0 0 0
1456942901.22 1150735293 31559390 0 0 0 0 954989905 22551292 0 0 0 0
1456942924.27 1157802226 31818138 0 0 0 0 960960691 22673632 0 0 0 0
1456942947.54 1164773576 32089778 0 0 0 0 966692124 22816981 0 0 0 0
1456942970.85 1175280101 32440245 0 0 0 0 972204717 22926896 0 0 0 0
1456942994.13 1183368872 32751736 0 0 0 0 982085211 23145854 0 0 0 0
1456943017.02 1190674675 32986846 0 0 0 0 986788959 23232611 0 0 0 0
1456943042.21 1197609315 33248492 0 0 0 0 993409602 23371067 0 0 0 0
1456943065.61 1203375870 33466703 0 0 0 0 998969242 23502971 0 0 0 0
1456943088.96 1214378975 33834740 0 0 0 0 1005637743 23622322 0 0 0 0
1456943112.26 1221970800 34118087 0 0 0 0 1014180637 23831658 0 0 0 0
1456943135.19 1229813228 34366631 0 0 0 0 1018839923 23929464 0 0 0 0
1456943158.17 1236022650 34607579 0 0 0 0 1025729500 24088625 0 0 0 0
1456943181.05 1240549252 34818661 0 0 0 0 1031007990 24201287 0 0 0 0
