timestamp host rtt host rtt
1456938086.52 192.168.1.136 7.28833675385 192.168.1.143 5.9522986412
1456938093.73 192.168.1.136 9.54288244247 192.168.1.143 124.587774277
1456938100.24 192.168.1.136 8.00973176956 192.168.1.143 12.2128129005
1456938105.52 192.168.1.136 6.62726163864 192.168.1.143 6.65366649628
1456938110.7 192.168.1.136 8.21191072464 192.168.1.143 6.07514381409
1456938115.91 192.168.1.136 8.05175304413 192.168.1.143 6.8433880806
1456938123.52 192.168.1.136 5.74707984924 192.168.1.143 6.70850276947
1456938128.7 192.168.1.136 7.72875547409 192.168.1.143 6.64293766022
1456938134.32 192.168.1.136 5.74773550034 192.168.1.143 6.06107711792
1456938139.58 192.168.1.136 7.17747211456 192.168.1.143 1354.03889418
1456938151.21 192.168.1.136 9.46670770645 192.168.1.143 10.0142359734
1456938156.44 192.168.1.136 7.78597593307 192.168.1.143 15.0694847107
1456938161.67 192.168.1.136 8.90719890594 192.168.1.143 11.2804174423
1456938166.89 192.168.1.136 8.69262218475 192.168.1.143 6.87575340271
1456938172.07 192.168.1.136 7.45105743408 192.168.1.143 10.2861523628
1456938177.31 192.168.1.136 6.71303272247 192.168.1.143 9.55724716187
1456938183.0 192.168.1.136 16.6940689087 192.168.1.143 14.600276947
1456938188.95 192.168.1.136 21.0047960281 192.168.1.143 14.3992304802
1456938195.86 192.168.1.136 6.61075115204 192.168.1.143 13.7927532196
1456938201.4 192.168.1.136 10.1904273033 192.168.1.143 16.4313912392
1456938208.75 192.168.1.136 12.3460292816 192.168.1.143 8.09073448181
1456938214.19 192.168.1.136 12.9695534706 192.168.1.143 17.235994339
1456938219.58 192.168.1.136 13.0229592323 192.168.1.143 19.3809866905
1456938224.93 192.168.1.136 7.52705335617 192.168.1.143 9.86003875732
1456938231.28 192.168.1.136 8.90719890594 192.168.1.143 8.00651311874
1456938236.49 192.168.1.136 20.3414559364 192.168.1.143 10.1172327995
1456938241.78 192.168.1.136 5.99777698517 192.168.1.143 6.29729032516
1456938246.98 192.168.1.136 5.83201646805 192.168.1.143 8.45646858215
1456938252.19 192.168.1.136 5.86795806885 192.168.1.143 10.8070373535
1456938257.44 192.168.1.136 6.59054517746 192.168.1.143 8.13972949982
1456938264.66 192.168.1.136 8.0029964447 192.168.1.143 7.80123472214
1456938272.07 192.168.1.136 7.83395767212 192.168.1.143 9.80472564697
1456938279.34 192.168.1.136 5.94455003738 192.168.1.143 6.29258155823
1456938286.52 192.168.1.136 6.4269900322 192.168.1.143 266.090989113
1456938295.73 192.168.1.136 8.87775421143 192.168.1.143 13.8968229294
1456938300.96 192.168.1.136 5.99145889282 192.168.1.143 7.94917345047
1456938306.17 192.168.1.136 6.0088634491 192.168.1.143 7.22950696945
1456938311.38 192.168.1.136 5.82027435303 192.168.1.143 8.11266899109
1456938316.58 192.168.1.136 8.38351249695 192.168.1.143 9.67103242874
1456938323.99 192.168.1.136 6.35951757431 192.168.1.143 7.6100230217
1456938330.94 192.168.1.136 21.6100215912 192.168.1.143 13.7467384338
1456938339.31 192.168.1.136 21.7918157578 192.168.1.143 25.1173377037
1456938344.95 192.168.1.136 8.25428962708 192.168.1.143 6.55621290207
1456938351.46 192.168.1.136 8.11886787415 192.168.1.143 8.10796022415
1456938356.65 192.168.1.136 6.6105723381 192.168.1.143 6.78473711014
1456938361.83 192.168.1.136 6.3179731369 192.168.1.143 6.49148225784
1456938367.09 192.168.1.136 6.98435306549 192.168.1.143 7.25394487381
1456938373.93 192.168.1.136 5.75762987137 192.168.1.143 8.47381353378
1456938379.22 192.168.1.136 5.96213340759 192.168.1.143 7.05945491791
1456938384.41 192.168.1.136 13.7687921524 192.168.1.143 12.2712850571
1456938391.75 192.168.1.136 6.09314441681 192.168.1.143 10.1117491722
1456938397.02 192.168.1.136 7.58439302444 192.168.1.143 6.32095336914
1456938402.23 192.168.1.136 6.4845085144 192.168.1.143 8.58080387115
1456938407.42 192.168.1.136 6.87694549561 192.168.1.143 7.04628229141
1456938412.66 192.168.1.136 6.4799785614 192.168.1.143 5.96529245377
1456938417.91 192.168.1.136 5.7737827301 192.168.1.143 9.83268022537
1456938423.11 192.168.1.136 7.9430937767 192.168.1.143 14.0715837479
1456938428.34 192.168.1.136 5.88548183441 192.168.1.143 7.40802288055
