1461096084.47 149192825 690258 ms 76059 ms 472576 ms 9530 -39 [-40, -46] dBm 175325417 686994 ms 15948 ms 674300 ms 1616 -49 [-51, -56] dBm
1461096092.14 152513997 692631 ms 76638 ms 473940 ms 9658 -39 [-41, -45] dBm 179011619 687977 ms 16292 ms 674905 ms 1674 -49 [-50, -60] dBm
1461096100.11 155900355 694365 ms 77234 ms 474662 ms 9808 -39 [-40, -45] dBm 183197096 688934 ms 16654 ms 675457 ms 1723 -49 [-49, -57] dBm
1461096108.16 159428555 696495 ms 77871 ms 475745 ms 10045 -39 [-39, -45] dBm 187173224 689813 ms 17015 ms 675934 ms 1777 -49 [-49, -58] dBm
1461096115.85 162695975 698572 ms 78505 ms 476762 ms 10325 -35 [-35, -41] dBm 191324382 690684 ms 17378 ms 676396 ms 1834 -48 [-49, -54] dBm
1461096123.57 165965145 700363 ms 79094 ms 477554 ms 10487 -40 [-42, -46] dBm 195535212 691586 ms 17741 ms 676902 ms 1897 -49 [-50, -57] dBm
1461096131.28 169252569 702098 ms 79668 ms 478296 ms 10682 -39 [-40, -45] dBm 198945519 692443 ms 18012 ms 677461 ms 1957 -49 [-50, -57] dBm
1461096138.93 171685557 704195 ms 80198 ms 479580 ms 10984 -35 [-37, -41] dBm 201554917 693238 ms 18245 ms 678003 ms 1999 -49 [-49, -57] dBm
1461096146.52 174199847 705883 ms 80715 ms 480523 ms 11154 -39 [-40, -46] dBm 204178121 693963 ms 18455 ms 678493 ms 2030 -49 [-49, -57] dBm
1461096154.08 176563868 707454 ms 81185 ms 481392 ms 11291 -39 [-41, -45] dBm 206442432 694588 ms 18659 ms 678887 ms 2072 -48 [-49, -56] dBm
1461096161.63 178896780 709584 ms 81679 ms 482687 ms 11475 -38 [-40, -45] dBm 208878151 695554 ms 18878 ms 679624 ms 2121 -49 [-50, -56] dBm
1461096169.23 181946888 711396 ms 82292 ms 483425 ms 11781 -39 [-40, -47] dBm 212852872 697026 ms 19213 ms 680723 ms 2206 -48 [-49, -56] dBm
1461096177.11 185363398 713129 ms 82892 ms 484296 ms 11901 -39 [-40, -47] dBm 216912235 698560 ms 19556 ms 681861 ms 2288 -49 [-50, -54] dBm
1461096184.97 188652294 715172 ms 83489 ms 485463 ms 12082 -35 [-36, -44] dBm 221128083 700001 ms 19922 ms 682896 ms 2383 -48 [-50, -54] dBm
1461096192.71 191602176 716770 ms 84088 ms 486252 ms 12288 -35 [-36, -43] dBm 225276019 701553 ms 20283 ms 684091 ms 2462 -48 [-49, -57] dBm
1461096200.53 194967772 718548 ms 84710 ms 487163 ms 12549 -39 [-39, -47] dBm 229411683 702820 ms 20631 ms 684998 ms 2532 -47 [-48, -54] dBm
1461096208.25 198311892 720225 ms 85309 ms 488035 ms 12711 -38 [-39, -46] dBm 233449257 703923 ms 20981 ms 685722 ms 2607 -48 [-49, -56] dBm
1461096216.09 201644621 721878 ms 85949 ms 488839 ms 12980 -39 [-40, -48] dBm 237316462 704804 ms 21292 ms 686260 ms 2660 -48 [-49, -55] dBm
1461096223.63 204585565 723612 ms 86504 ms 489837 ms 13169 -33 [-35, -41] dBm 240559596 706198 ms 21570 ms 687374 ms 2715 -47 [-49, -54] dBm
1461096231.36 208017327 725248 ms 87213 ms 490565 ms 13589 -33 [-34, -42] dBm 244608680 707116 ms 21919 ms 687905 ms 2790 -48 [-50, -53] dBm
1461096239.11 211307757 726829 ms 87818 ms 491353 ms 13821 -39 [-40, -47] dBm 248784431 707943 ms 22273 ms 688345 ms 2857 -48 [-49, -54] dBm
1461096246.91 214721727 728985 ms 88470 ms 492568 ms 14136 -35 [-36, -44] dBm 252843704 708827 ms 22625 ms 688836 ms 2930 -47 [-48, -55] dBm
1461096254.51 217662467 730750 ms 89020 ms 493459 ms 14339 -39 [-40, -48] dBm 255587737 709533 ms 22840 ms 689306 ms 2963 -48 [-48, -57] dBm
1461096262.33 220097053 732415 ms 89493 ms 494476 ms 14504 -39 [-39, -47] dBm 258028459 710220 ms 23052 ms 689760 ms 3009 -48 [-48, -58] dBm
1461096269.96 222568391 734725 ms 89980 ms 496038 ms 14647 -39 [-40, -47] dBm 260597995 710963 ms 23270 ms 690243 ms 3043 -48 [-48, -57] dBm
1461096277.46 225147107 736319 ms 90460 ms 496840 ms 14742 -36 [-37, -42] dBm 262955554 711631 ms 23477 ms 690682 ms 3089 -48 [-48, -58] dBm
1461096284.98 227661645 738143 ms 90912 ms 497873 ms 14826 -40 [-41, -47] dBm 265425380 713241 ms 23687 ms 692045 ms 3137 -47 [-47, -57] dBm
1461096292.49 230232837 739733 ms 91408 ms 498624 ms 14982 -35 [-36, -43] dBm 267857064 714341 ms 23897 ms 692913 ms 3167 -48 [-48, -61] dBm
1461096300.03 232747299 741405 ms 91918 ms 499448 ms 15151 -35 [-36, -43] dBm 270454212 715538 ms 24124 ms 693858 ms 3230 -48 [-49, -57] dBm
1461096307.65 234857369 743303 ms 92364 ms 500535 ms 15332 -40 [-41, -46] dBm 272913630 716621 ms 24338 ms 694679 ms 3270 -49 [-49, -57] dBm
1461096315.2 237301439 745520 ms 92892 ms 501893 ms 15517 -36 [-36, -43] dBm 275454228 717652 ms 24575 ms 695446 ms 3318 -49 [-49, -57] dBm
1461096322.93 240323481 747413 ms 93471 ms 502845 ms 15660 -36 [-37, -43] dBm 279068332 718562 ms 24864 ms 696038 ms 3375 -48 [-49, -57] dBm
1461096330.45 242849979 749345 ms 93945 ms 503919 ms 15788 -39 [-40, -47] dBm 281531936 719283 ms 25075 ms 696526 ms 3425 -48 [-48, -58] dBm
1461096337.96 245369627 750834 ms 94405 ms 504590 ms 15889 -40 [-40, -47] dBm 284060779 720160 ms 25290 ms 697176 ms 3460 -47 [-48, -55] dBm
1461096345.51 248112517 752608 ms 94971 ms 505447 ms 16147 -39 [-40, -46] dBm 287790019 721249 ms 25603 ms 697939 ms 3525 -48 [-49, -53] dBm
1461096353.08 250948945 754387 ms 95492 ms 506408 ms 16276 -35 [-36, -43] dBm 290326042 722098 ms 25826 ms 698553 ms 3570 -49 [-52, -52] dBm
1461096360.68 253371131 756553 ms 96014 ms 507554 ms 16549 -35 [-36, -42] dBm 292826462 722731 ms 26042 ms 698950 ms 3614 -48 [-52, -51] dBm
1461096368.17 255922173 760151 ms 96511 ms 508764 ms 16730 -34 [-35, -41] dBm 296294922 723645 ms 26345 ms 699534 ms 3677 -48 [-51, -51] dBm
1461096375.84 259016251 762939 ms 97056 ms 509408 ms 16914 -32 [-34, -38] dBm 298970218 724317 ms 26567 ms 699963 ms 3721 -49 [-51, -54] dBm
1461096383.42 261395547 765953 ms 97525 ms 510324 ms 17069 -38 [-40, -43] dBm 301552026 725473 ms 26788 ms 700895 ms 3765 -50 [-52, -54] dBm
1461096390.9 263948187 769214 ms 98040 ms 511285 ms 17259 -35 [-36, -40] dBm 304169158 726216 ms 27016 ms 701394 ms 3796 -49 [-50, -53] dBm
1461096398.44 266415743 772720 ms 98521 ms 512218 ms 17442 -35 [-36, -41] dBm 306874293 726931 ms 27245 ms 701852 ms 3838 -49 [-52, -53] dBm
1461096405.92 268919743 776273 ms 99022 ms 513450 ms 17648 -35 [-36, -42] dBm 309409995 727864 ms 27459 ms 702556 ms 3865 -49 [-52, -52] dBm
1461096413.43 271412867 779559 ms 99543 ms 514565 ms 17834 -37 [-38, -44] dBm 311939647 728624 ms 27673 ms 703082 ms 3909 -50 [-53, -52] dBm
1461096420.99 274129685 782899 ms 100071 ms 515521 ms 18012 -36 [-37, -44] dBm 314969297 729425 ms 27938 ms 703593 ms 3963 -49 [-52, -53] dBm
1461096428.54 276725213 786819 ms 100619 ms 516878 ms 18198 -36 [-37, -44] dBm 318995015 730552 ms 28293 ms 704305 ms 4036 -49 [-52, -52] dBm
1461096436.39 280184445 790523 ms 101273 ms 518125 ms 18427 -40 [-41, -46] dBm 322597055 731352 ms 28585 ms 704781 ms 4082 -51 [-54, -54] dBm
1461096443.87 282414881 793458 ms 101767 ms 519059 ms 18677 -40 [-41, -46] dBm 325189515 732013 ms 28800 ms 705205 ms 4113 -49 [-52, -53] dBm
1461096451.32 284833999 796373 ms 102243 ms 519802 ms 18812 -33 [-34, -39] dBm 327642381 733061 ms 29011 ms 706032 ms 4155 -50 [-53, -53] dBm
1461096458.85 287255471 799270 ms 102739 ms 520512 ms 19047 -35 [-36, -41] dBm 330117534 733765 ms 29220 ms 706511 ms 4183 -50 [-52, -54] dBm
1461096466.41 289656651 802566 ms 103219 ms 521581 ms 19270 -32 [-34, -38] dBm 332473758 734477 ms 29421 ms 707002 ms 4205 -50 [-52, -54] dBm
1461096475.16 292272121 805896 ms 103760 ms 522344 ms 19482 -38 [-40, -44] dBm 335041760 735572 ms 29640 ms 707870 ms 4243 -51 [-53, -54] dBm
1461096482.97 294494887 809382 ms 104238 ms 523512 ms 19652 -35 [-36, -40] dBm 337447393 736315 ms 29855 ms 708378 ms 4290 -49 [-52, -53] dBm
1461096490.51 296970147 813122 ms 104726 ms 524608 ms 19827 -35 [-36, -40] dBm 340361993 737107 ms 30099 ms 708907 ms 4335 -49 [-52, -53] dBm
1461096498.02 299726807 816694 ms 105229 ms 525684 ms 19985 -36 [-37, -43] dBm 342811958 737879 ms 30311 ms 709455 ms 4385 -50 [-53, -53] dBm
1461096505.64 302254839 820064 ms 105731 ms 526836 ms 20144 -32 [-34, -38] dBm 345406038 738717 ms 30549 ms 710036 ms 4437 -49 [-52, -52] dBm
1461096513.42 305321305 823475 ms 106315 ms 527893 ms 20378 -38 [-39, -45] dBm 348649194 739616 ms 30810 ms 710654 ms 4492 -49 [-53, -51] dBm
1461096520.92 307638051 827071 ms 106776 ms 528999 ms 20527 -39 [-40, -45] dBm 351015671 740302 ms 31014 ms 711118 ms 4529 -50 [-53, -52] dBm
1461096528.43 310152277 830910 ms 107278 ms 530102 ms 20725 -35 [-36, -42] dBm 353506887 740949 ms 31228 ms 711533 ms 4574 -51 [-55, -53] dBm
1461096535.94 312590011 834342 ms 107756 ms 531256 ms 20901 -35 [-36, -41] dBm 355993825 741657 ms 31448 ms 712002 ms 4617 -51 [-55, -53] dBm
1461096543.53 315006435 838076 ms 108252 ms 532693 ms 21085 -33 [-34, -39] dBm 358396155 742381 ms 31643 ms 712516 ms 4657 -50 [-52, -53] dBm
1461096551.83 317058417 841941 ms 108713 ms 534042 ms 21246 -38 [-39, -45] dBm 360844609 743170 ms 31862 ms 713074 ms 4696 -49 [-52, -54] dBm
1461096559.37 319582051 846331 ms 109226 ms 535387 ms 21434 -38 [-39, -44] dBm 363326829 743938 ms 32081 ms 713576 ms 4742 -50 [-53, -53] dBm
1461096566.88 322033445 850549 ms 109752 ms 536055 ms 21723 -35 [-36, -41] dBm 366499453 744687 ms 32348 ms 714030 ms 4793 -50 [-53, -53] dBm
1461096574.65 325410375 855485 ms 110437 ms 536872 ms 22067 -32 [-34, -39] dBm 370588288 745648 ms 32711 ms 714601 ms 4872 -49 [-53, -52] dBm
1461096582.56 328699699 859479 ms 111042 ms 537633 ms 22342 -35 [-36, -41] dBm 373950902 746502 ms 32984 ms 715163 ms 4939 -49 [-53, -51] dBm
1461096590.12 331066927 863220 ms 111562 ms 538670 ms 22645 -35 [-36, -41] dBm 376457544 747180 ms 33195 ms 715609 ms 4971 -49 [-52, -51] dBm
1461096597.64 333524631 866269 ms 112122 ms 539738 ms 22895 -38 [-40, -45] dBm 378953448 747975 ms 33407 ms 716186 ms 5005 -49 [-53, -51] dBm
1461096605.23 336023517 867786 ms 112622 ms 540578 ms 23048 -39 [-40, -45] dBm 381303536 749256 ms 33611 ms 717264 ms 5049 -49 [-54, -51] dBm
1461096612.85 338620579 869589 ms 113119 ms 541647 ms 23207 -32 [-33, -38] dBm 383968094 750034 ms 33835 ms 717801 ms 5087 -49 [-53, -51] dBm
1461096620.39 341091915 872437 ms 113625 ms 542424 ms 23463 -35 [-36, -40] dBm 386506864 751011 ms 34062 ms 718531 ms 5132 -49 [-53, -51] dBm
1461096629.38 343854649 876511 ms 114198 ms 543771 ms 23722 -35 [-37, -40] dBm 389087138 752163 ms 34276 ms 719463 ms 5167 -49 [-54, -51] dBm
1461096637.45 346173343 878069 ms 114672 ms 544689 ms 23920 -39 [-40, -45] dBm 391262141 753160 ms 34464 ms 720280 ms 5198 -47 [-52, -49] dBm
1461096645.04 348309269 879594 ms 115131 ms 545564 ms 24066 -39 [-40, -45] dBm 393420629 753904 ms 34656 ms 720821 ms 5243 -48 [-52, -50] dBm
1461096652.69 350513627 881391 ms 115575 ms 546659 ms 24214 -38 [-39, -45] dBm 395701687 754546 ms 34856 ms 721248 ms 5286 -47 [-52, -49] dBm
1461096660.36 352796531 883202 ms 116038 ms 547680 ms 24380 -38 [-40, -44] dBm 397991949 755155 ms 35049 ms 721640 ms 5327 -47 [-51, -49] dBm
1461096668.37 354812477 884874 ms 116467 ms 548745 ms 24550 -37 [-39, -42] dBm 400187189 755930 ms 35241 ms 722210 ms 5365 -47 [-52, -50] dBm
1461096676.46 357162565 887023 ms 116950 ms 550116 ms 24664 -39 [-40, -46] dBm 402541879 756602 ms 35448 ms 722652 ms 5411 -48 [-52, -51] dBm
1461096684.95 359787239 889737 ms 117455 ms 551871 ms 24778 -35 [-36, -42] dBm 405072155 757486 ms 35664 ms 723274 ms 5453 -49 [-53, -50] dBm
1461096692.65 362146593 892065 ms 117943 ms 553227 ms 24928 -35 [-36, -42] dBm 407337959 758076 ms 35865 ms 723640 ms 5492 -48 [-52, -50] dBm
1461096700.8 364660309 893937 ms 118461 ms 554138 ms 25138 -39 [-40, -46] dBm 409727122 758727 ms 36068 ms 724072 ms 5525 -47 [-51, -49] dBm
